"date","year","doy","zona","LAI","P30","P60","T2m_C","GDA","SM_sup","SM_root","Rad7","Rad30","LAI_max_zy","LAI_norm","LAI_hayedo","LAI_hayedo_norm","LAI_hayedo_anom","GDA2","LAI_norm_clim_A","LAI_norm_res_A","LAI_clim_A","LAI_res_A"
2018-04-19,2018,108,"hayedo_cercano",1.34678311010843,NA,NA,16.8147170292757,93.515880032106,0.357319735880918,0.369543895781415,17.9843454528302,NA,3.74972008230288,0.359168972762711,1.3647074027881,0.335333739324066,-0.104791742808515,8745.21981817924,NA,NA,NA,NA
2018-04-24,2018,113,"hayedo_cercano",1.86923511705935,NA,NA,16.5087249387985,147.01973611124,0.358709497271844,0.358228383574096,22.6735537915544,NA,3.74972008230288,0.498499908268182,1.94344864184675,0.477541119014464,-0.0413110264739248,21614.8028062185,NA,NA,NA,NA
2018-06-03,2018,153,"hayedo_cercano",3.43084432554393,142.259942383889,335.562072612116,16.5692172924178,417.385116584347,0.408331071305825,0.408040185644442,15.8916442659479,521.507378465409,3.74972008230288,0.914960117086098,4.05879508695672,0.997320693709669,0.0471867131046513,174210.335546129,0.957365132719594,-0.0424050156334959,3.58985126425522,-0.159006938711287
2018-06-23,2018,173,"hayedo_cercano",3.74972008230288,187.777250368341,272.446584728035,16.6167284471684,617.478712688904,0.322930675882463,0.334519063401772,20.6393058167116,507.357901044025,3.74972008230288,1,4.06969905724053,1,0.0210476797544259,381279.960623946,0.913870339257198,0.0861296607428019,3.42675796373366,0.322962118569218
2018-07-08,2018,188,"hayedo_cercano",3.59565643786163,145.100023326316,311.928066363603,19.9408178693344,827.104015189599,0.373413261877416,0.376322040517875,20.4672349541779,596.528238125786,3.74972008230288,0.958913294576744,3.8213018175825,0.938964224095121,-0.000365763608699998,684101.051942756,0.890466594136994,0.0684467004397501,3.33900047065533,0.2566559672063
2018-07-13,2018,193,"hayedo_cercano",3.18156125081781,108.249529614514,309.213565933099,19.3879198542181,897.273141848169,0.380269134569468,0.374812919388777,22.8811682596586,636.828081427673,3.74972008230288,0.848479668078015,3.49326133530441,0.858358636884816,-0.0616160753197095,805099.091082084,0.878647380930542,-0.0301677128525271,3.29468172953808,-0.113120478720267
2018-07-23,2018,203,"hayedo_cercano",3.11111405002692,151.274963596787,339.052213965128,20.1881881074086,1033.89893536518,0.37288008196049,0.380667129652555,19.7427851662174,631.089083679245,3.74972008230288,0.829692345492692,3.37517513997751,0.829342684190032,-0.0486471916287321,1068947.00854925,0.855542828363881,-0.0258504828711896,3.20804612478625,-0.0969320747593261
2018-08-02,2018,213,"hayedo_cercano",3.04492128490976,108.498522767936,249.961217784506,21.6150812336984,1183.3021305884,0.317928564123638,0.32587616648564,18.114983230009,593.484373037736,3.74972008230288,0.812039623778992,3.31874949515125,0.815477864203928,-0.0209436219749821,1400203.93225504,0.797218416931566,0.0148212068474266,2.98934590795,0.0555753769597604
2018-08-12,2018,223,"hayedo_cercano",2.96504118256459,128.443882321176,236.69341193569,20.6038759843359,1336.73440294166,0.37686602874372,0.373433652913795,19.7044628221024,598.578950308176,3.74972008230288,0.790736673000835,3.24061933100901,0.796279844143148,-0.00223786128253733,1786858.8640078,0.77781158327655,0.0129250897242843,2.91657571405988,0.0484654685047157
2018-08-22,2018,233,"hayedo_cercano",2.82139440631517,94.6403320050846,245.915295601872,20.6083416472941,1460.81665854304,0.323428973711761,0.335483552025049,19.328071933513,590.69118263522,3.74972008230288,0.752428006461329,3.09799129540425,0.761233509365395,-0.00324722184838044,2133985.30987687,0.734878660109171,0.0175493463521585,2.75558926986719,0.0658051364479775
2018-08-27,2018,238,"hayedo_cercano",2.7080726711864,91.8101892232146,242.139955843256,19.5110072393837,1523.79648448057,0.305487920653145,0.314801644979033,19.7916068814016,593.971691918239,3.74972008230288,0.722206621226842,2.99899024166161,0.736907127401967,-0.0112745112425878,2321955.72611534,0.725354284430949,-0.00314766320410687,2.71987552711516,-0.0118028559287655
2018-09-01,2018,243,"hayedo_cercano",2.71744967255433,97.6994804710576,206.198003238994,17.4120892122857,1589.45294047822,0.305541428380043,0.307775641387364,19.8897243728661,590.285416106918,3.74972008230288,0.724707341590528,2.98561197137963,0.733619840038992,0.00185643950876757,2526360.64999485,0.678878168413734,0.0458291731767938,2.54560310153797,0.17184657101636
2018-09-11,2018,253,"hayedo_cercano",2.5063614342629,52.9137441295952,181.357626450771,19.5817593172661,1714.8450847074,0.332176754309696,0.330330355362322,15.253750950584,536.35514145283,3.74972008230288,0.668412942633208,2.76338771386064,0.6790152478091,-0.0176368641460973,2940693.66454512,0.596803789037393,0.071609153595816,2.23784715294796,0.268514281314943
2018-09-26,2018,268,"hayedo_cercano",2.30533936458487,44.898759254331,136.708948477546,17.4473760536882,1911.14072811599,0.267658781455498,0.272478246588877,16.6677964778751,514.556534917453,3.74972008230288,0.614803055690773,2.45299408880175,0.602745818376313,-0.0299740703212316,3652458.88266371,0.538064190760965,0.0767388649298081,2.01759010166444,0.28774926292043
