"date","LAI_hayedo","n_zonas_hayedo","year","doy","LAI_hayedo_max","LAI_hayedo_norm","LAI_hayedo_norm_pheno","LAI_hayedo_anom"
2018-04-19,1.3647074027881,3,2018,108,4.06969905724053,0.335333739324066,0.440125482132581,-0.104791742808515
2018-04-24,1.94344864184675,3,2018,113,4.06969905724053,0.477541119014464,0.518852145488388,-0.0413110264739248
2018-06-03,4.05879508695672,3,2018,153,4.06969905724053,0.997320693709669,0.950133980605018,0.0471867131046513
2018-06-23,4.06969905724053,3,2018,173,4.06969905724053,1,0.978952320245574,0.0210476797544259
2018-07-08,3.8213018175825,3,2018,188,4.06969905724053,0.938964224095121,0.939329987703821,-0.000365763608699998
2018-07-13,3.49326133530441,3,2018,193,4.06969905724053,0.858358636884816,0.919974712204526,-0.0616160753197095
2018-07-23,3.37517513997751,3,2018,203,4.06969905724053,0.829342684190032,0.877989875818764,-0.0486471916287321
2018-08-02,3.31874949515125,3,2018,213,4.06969905724053,0.815477864203928,0.83642148617891,-0.0209436219749821
2018-08-12,3.24061933100901,3,2018,223,4.06969905724053,0.796279844143148,0.798517705425685,-0.00223786128253733
2018-08-22,3.09799129540425,3,2018,233,4.06969905724053,0.761233509365395,0.764480731213775,-0.00324722184838044
2018-08-27,2.99899024166161,3,2018,238,4.06969905724053,0.736907127401967,0.748181638644554,-0.0112745112425878
2018-09-01,2.98561197137963,3,2018,243,4.06969905724053,0.733619840038992,0.731763400530224,0.00185643950876757
2018-09-11,2.76338771386064,3,2018,253,4.06969905724053,0.6790152478091,0.696652111955197,-0.0176368641460973
2018-09-26,2.45299408880175,3,2018,268,4.06969905724053,0.602745818376313,0.632719888697544,-0.0299740703212316
2018-10-16,2.20740886145128,3,2018,288,4.06969905724053,0.542401005677314,0.523696717183805,0.0187042884935092
2018-10-21,1.9629957207651,3,2018,293,4.06969905724053,0.482344196255167,0.493643697644341,-0.011299501389174
2019-04-29,2.08068214229817,3,2019,118,4.83197222730068,0.430607222976634,0.594389803115575,-0.163782580138942
2019-05-14,4.08609681518911,3,2019,133,4.83197222730068,0.84563747947528,0.790853922798896,0.0547835566763841
2019-06-03,4.83197222730068,1,2019,153,4.83197222730068,1,0.950133980605018,0.049866019394982
2019-06-08,4.71176049599498,3,2019,158,4.83197222730068,0.975121601356377,0.968813151245043,0.00630845011133496
2019-06-13,4.62273950981493,2,2019,163,4.83197222730068,0.95669827812677,0.979354390008322,-0.0226561118815526
2019-06-18,4.55349020007182,3,2019,168,4.83197222730068,0.942366798870359,0.982439741838267,-0.0400729429679079
2019-06-28,4.46429481267128,3,2019,178,4.83197222730068,0.923907382465483,0.969888663875816,-0.0459812814103323
2019-08-07,3.24559641077322,3,2019,218,4.83197222730068,0.671691859575594,0.816925886650421,-0.145234027074826
2019-08-17,3.73673791696324,3,2019,228,4.83197222730068,0.773335967423539,0.7811258395746,-0.00778987215106108
2019-08-22,3.50824530578931,3,2019,233,4.83197222730068,0.726048317489843,0.764480731213775,-0.0384324137239326
2019-09-16,3.15319992373159,2,2019,258,4.83197222730068,0.652569960132631,0.677109137439799,-0.0245391773071675
2019-09-26,2.77875732870441,3,2019,268,4.83197222730068,0.575077255826183,0.632719888697544,-0.0576426328713612
2019-10-11,2.47636522187933,3,2019,283,4.83197222730068,0.512495748193221,0.5529636038273,-0.0404678556340795
